#cm-1, A
3219.42, 0.999
3207.02, 0.999
3194.619, 0.999
3182.219, 0.999
3169.819, 0.999
3157.418, 0.999
3145.018, 0.999
3132.617, 0.998
3120.217, 0.998
3107.817, 0.998
3095.416, 0.998
3083.016, 0.998
3070.615, 0.998
3058.215, 0.998
3045.814, 0.998
3033.414, 0.998
3021.014, 0.998
3014.805, 0.992
3002.405, 0.992
2989.996, 0.987
2983.791, 0.984
2983.783, 0.979
2977.577, 0.976
2977.569, 0.971
2977.561, 0.964
2977.553, 0.96
2971.343, 0.954
2971.335, 0.948
2971.327, 0.943
2971.318, 0.938
2971.31, 0.932
2971.301, 0.927
2965.093, 0.921
2965.084, 0.916
2965.076, 0.91
2965.067, 0.905
2965.059, 0.899
2965.05, 0.894
2965.042, 0.888
2965.033, 0.883
2958.823, 0.877
2958.819, 0.874
2952.616, 0.871
2952.607, 0.866
2952.599, 0.861
2946.394, 0.858
2940.186, 0.851
2940.177, 0.847
2940.169, 0.841
2940.16, 0.835
2940.152, 0.831
2940.143, 0.825
2940.135, 0.819
2940.126, 0.814
2940.117, 0.809
2933.913, 0.806
2933.905, 0.8
2933.896, 0.795
2933.888, 0.789
2933.879, 0.784
2933.871, 0.778
2933.862, 0.773
2933.854, 0.767
2933.845, 0.762
2933.835, 0.756
2933.827, 0.751
2933.819, 0.745
2933.811, 0.74
2933.802, 0.734
2933.794, 0.729
2933.785, 0.722
2933.777, 0.718
2933.768, 0.713
2933.76, 0.706
2933.751, 0.702
2933.742, 0.696
2933.734, 0.69
2933.726, 0.685
2933.717, 0.68
2933.709, 0.674
2933.7, 0.669
2933.692, 0.663
2927.483, 0.658
2927.475, 0.652
2927.466, 0.647
2927.458, 0.641
2927.449, 0.636
2927.441, 0.63
2921.232, 0.625
2921.223, 0.619
2921.215, 0.613
2921.206, 0.608
2921.198, 0.603
2921.189, 0.597
2921.181, 0.592
2921.172, 0.585
2921.164, 0.581
2921.155, 0.575
2921.147, 0.569
2921.138, 0.564
2921.13, 0.559
2921.121, 0.553
2914.921, 0.553
2914.925, 0.556
2914.934, 0.562
2914.942, 0.567
2914.951, 0.573
2914.959, 0.577
2914.968, 0.584
2914.976, 0.589
2914.984, 0.593
2914.992, 0.6
2915.002, 0.605
2915.01, 0.611
2915.019, 0.616
2915.027, 0.621
2915.036, 0.627
2915.044, 0.633
2915.053, 0.638
2915.062, 0.644
2915.07, 0.649
2915.079, 0.655
2908.887, 0.66
2908.895, 0.666
2908.904, 0.671
2908.912, 0.677
2908.921, 0.682
2908.929, 0.688
2908.938, 0.693
2908.946, 0.698
2908.955, 0.704
2908.963, 0.71
2908.972, 0.714
2908.98, 0.721
2908.988, 0.726
2908.996, 0.732
2909.006, 0.737
2909.014, 0.742
2902.818, 0.745
2902.827, 0.751
2902.835, 0.756
2902.843, 0.762
2902.851, 0.767
2902.861, 0.773
2902.869, 0.778
2902.878, 0.784
2902.886, 0.789
2902.895, 0.795
2896.702, 0.8
2896.712, 0.806
2896.72, 0.811
2896.729, 0.817
2896.737, 0.822
2896.746, 0.827
2896.754, 0.833
2896.763, 0.839
2890.567, 0.841
2890.575, 0.847
2890.584, 0.851
2890.592, 0.858
2890.601, 0.863
2890.609, 0.869
2884.418, 0.874
2878.226, 0.88
2878.234, 0.885
2878.242, 0.891
2884.439, 0.888
2884.43, 0.882
2872.03, 0.882
2872.022, 0.877
2878.217, 0.874
2872.013, 0.871
2872.005, 0.866
2871.996, 0.859
2865.787, 0.855
2865.779, 0.849
2865.77, 0.843
2865.762, 0.838
2865.753, 0.833
2859.545, 0.827
2859.54, 0.825
2859.532, 0.819
2859.523, 0.814
2859.515, 0.808
2859.506, 0.803
2859.498, 0.797
2859.488, 0.792
2859.48, 0.786
2859.472, 0.781
2853.264, 0.775
2853.255, 0.77
2853.246, 0.764
2853.238, 0.759
2853.23, 0.753
2853.221, 0.748
2853.213, 0.742
2853.204, 0.737
2853.195, 0.73
2853.187, 0.726
2853.178, 0.72
2853.17, 0.714
2853.161, 0.709
2853.153, 0.704
2853.144, 0.698
2846.944, 0.698
2846.952, 0.704
2846.96, 0.709
2846.97, 0.714
2846.978, 0.72
2846.987, 0.726
2846.995, 0.73
2847.004, 0.737
2847.012, 0.742
2847.021, 0.748
2847.029, 0.753
2847.038, 0.759
2847.046, 0.764
2847.055, 0.77
2847.063, 0.775
2847.072, 0.781
2847.08, 0.786
2847.089, 0.792
2847.097, 0.797
2847.106, 0.803
2847.114, 0.808
2847.123, 0.814
2847.131, 0.819
2847.14, 0.825
2840.948, 0.83
2840.952, 0.833
2840.96, 0.838
2840.968, 0.843
2840.978, 0.849
2840.986, 0.855
2840.995, 0.859
2841.003, 0.866
2841.012, 0.871
2841.02, 0.877
2841.029, 0.882
2841.037, 0.888
2841.046, 0.893
2841.054, 0.899
2841.063, 0.904
2841.071, 0.91
2841.08, 0.915
2841.089, 0.921
2834.897, 0.926
2834.905, 0.932
2834.914, 0.937
2834.922, 0.943
2834.931, 0.948
2834.939, 0.954
2828.748, 0.959
2828.752, 0.962
2828.76, 0.967
2822.569, 0.972
2816.377, 0.978
2810.181, 0.98
2803.988, 0.986
2791.593, 0.988
2785.393, 0.988
2772.996, 0.992
2760.596, 0.992
2748.196, 0.992
2735.796, 0.992
2723.395, 0.992
2710.995, 0.992
2704.799, 0.994
2692.398, 0.994
2679.994, 0.992
2667.593, 0.991
2655.197, 0.994
2642.797, 0.994
2630.396, 0.994
2617.996, 0.994
2605.595, 0.994
2593.195, 0.994
2580.795, 0.994
2568.394, 0.994
2562.198, 0.996
2549.798, 0.996
2537.397, 0.996
2524.996, 0.996
2512.596, 0.996
2500.196, 0.996
2487.796, 0.996
2475.395, 0.996
2462.995, 0.996
2450.593, 0.996
2438.194, 0.996
2425.794, 0.996
2413.393, 0.996
2400.992, 0.996
2388.592, 0.996
2376.192, 0.996
2363.791, 0.996
2351.391, 0.996
2338.991, 0.996
2326.589, 0.996
2314.19, 0.996
2301.789, 0.996
2289.389, 0.996
2276.988, 0.996
2264.588, 0.996
2252.188, 0.996
2239.787, 0.996
2227.387, 0.995
2214.986, 0.995
2202.585, 0.995
2190.186, 0.995
2177.785, 0.995
2165.385, 0.995
2152.984, 0.995
2140.584, 0.995
2128.184, 0.995
2115.783, 0.995
2103.383, 0.995
2090.982, 0.995
2078.581, 0.995
2066.181, 0.995
2053.781, 0.995
2041.381, 0.995
2028.98, 0.995
2016.58, 0.995
2004.179, 0.995
1991.779, 0.995
1979.379, 0.995
1966.978, 0.995
1954.577, 0.995
1942.177, 0.995
1929.777, 0.994
1917.376, 0.994
1904.976, 0.994
1892.576, 0.994
1880.175, 0.994
1867.775, 0.994
1855.374, 0.994
1842.974, 0.994
1830.573, 0.994
1818.173, 0.994
1805.773, 0.994
1793.371, 0.994
1780.972, 0.994
1768.571, 0.994
1756.171, 0.994
1743.771, 0.994
1731.37, 0.994
1718.97, 0.994
1706.569, 0.994
1694.169, 0.994
1681.768, 0.994
1669.367, 0.994
1656.968, 0.994
1644.567, 0.994
1632.167, 0.992
1619.766, 0.992
1607.366, 0.992
1594.966, 0.992
1582.565, 0.992
1570.165, 0.992
1557.764, 0.992
1545.363, 0.992
1532.963, 0.992
1520.563, 0.992
1508.163, 0.992
1501.954, 0.988
1489.549, 0.984
1483.345, 0.982
1477.136, 0.976
1477.128, 0.971
1477.119, 0.966
1477.111, 0.96
1477.102, 0.955
1477.094, 0.948
1477.085, 0.944
1477.077, 0.938
1477.068, 0.933
1477.059, 0.927
1470.851, 0.922
1470.847, 0.919
1470.838, 0.913
1470.83, 0.908
1470.821, 0.902
1470.813, 0.897
1470.804, 0.891
1470.796, 0.886
1464.587, 0.88
1464.577, 0.875
1464.569, 0.869
1464.561, 0.863
1458.357, 0.861
1458.365, 0.867
1458.374, 0.871
1452.182, 0.878
1458.387, 0.88
1452.191, 0.883
1452.199, 0.889
1452.208, 0.894
1452.216, 0.9
1452.225, 0.905
1452.233, 0.911
1452.242, 0.916
1452.25, 0.922
1446.054, 0.924
1446.063, 0.93
1446.071, 0.935
1446.08, 0.94
1439.888, 0.946
1439.897, 0.952
1439.905, 0.956
1433.713, 0.963
1433.722, 0.968
1433.73, 0.974
1427.534, 0.976
1427.543, 0.982
1415.147, 0.984
1402.746, 0.984
1390.346, 0.984
1396.542, 0.982
1390.337, 0.979
1384.129, 0.972
1377.924, 0.971
1365.524, 0.971
1353.128, 0.972
1340.73, 0.976
1334.535, 0.979
1328.34, 0.982
1315.939, 0.98
1303.534, 0.979
1291.134, 0.979
1278.738, 0.98
1272.538, 0.98
1260.137, 0.98
1247.741, 0.984
1235.341, 0.984
1222.94, 0.984
1210.54, 0.984
1198.144, 0.987
1185.742, 0.987
1173.343, 0.986
1160.942, 0.986
1148.542, 0.986
1136.142, 0.986
1123.741, 0.986
1111.341, 0.986
1098.94, 0.986
1086.54, 0.986
1074.139, 0.986
1061.738, 0.986
1049.339, 0.986
1036.938, 0.986
1024.538, 0.986
1012.137, 0.986
999.737, 0.986
987.337, 0.986
974.936, 0.986
962.536, 0.986
950.135, 0.986
937.734, 0.986
925.334, 0.986
912.934, 0.986
900.529, 0.983
894.329, 0.983
881.929, 0.983
869.533, 0.984
857.132, 0.984
844.732, 0.984
832.331, 0.984
819.931, 0.984
807.53, 0.984
795.13, 0.984
788.926, 0.982
776.521, 0.98
764.116, 0.976
751.712, 0.974
745.507, 0.971
739.303, 0.968
739.294, 0.963
733.085, 0.958
733.077, 0.952
726.867, 0.947
726.859, 0.94
726.851, 0.936
726.843, 0.93
726.834, 0.925
720.638, 0.927
720.647, 0.933
720.655, 0.938
720.664, 0.944
714.472, 0.948
714.476, 0.952
714.484, 0.958
714.492, 0.963
714.502, 0.968
708.31, 0.974
708.319, 0.979
702.123, 0.982
695.931, 0.988
689.734, 0.99
677.335, 0.99
664.934, 0.99
652.534, 0.99
640.133, 0.99
627.733, 0.99
615.332, 0.99
602.932, 0.99
596.728, 0.987
584.327, 0.987
571.927, 0.987
559.526, 0.987
547.126, 0.987
534.726, 0.987
522.325, 0.987
509.925, 0.987
497.524, 0.987
485.124, 0.987
472.722, 0.987
460.323, 0.987
447.923, 0.987
435.522, 0.987
423.121, 0.987
410.721, 0.987
398.317, 0.984
